label,"Total Population"
2019,10230185
2018,10120242
2017,9995153
2016,9851017
2015,9747355
2014,9644864
2013,9555893
2012,9482855
2011,9415570
2010,9340682
2009,9256347
2008,9182927
2007,9113257
2006,9047752
2005,9011392
2004,8975670
2003,8940788
2002,8909128
2001,8882792
2000,8861426
1999,8854322
1998,8847625
1997,8844499
1996,8837496
1995,8816381
1994,8745109
1993,8692013
1992,8644120
1991,8590630
1990,8527039
1989,8458888
1988,8414089
1987,8381519
1986,8358139
1985,8342633
1984,8330577
1983,8327488
1982,8323038
1981,8317967
1980,8303094
1979,8284261
1978,8266936
1977,8236144
1976,8208427
1975,8176447
1974,8143463
1973,8129161
1972,8115438
1971,8081230
1970,8004371
1969,7931772
1968,7892774
1967,7843088
1966,7772506
1965,7695200
1964,7627507
1963,7581148
1962,7542028
1961,7497967
1960,7471345
